# Perseus Dynamic Lexicon — Greek-Latin pairs NOT in existing Tesserae dictionary
# Filtered: score >= 25, single-char words removed
# Sigma normalized (ς→σ), Latin u/v normalized (v→u)
# 3001 novel pairs (of 4187 total filtered)
# Format: greek,latin
ἁμαρτία,pecco
ἀναγκαῖοσ,necessarius
ψηφίζω,decerno
ὅλοσ,dux
ἀνάγκη,necessarius
ὄνομα,sermo
φρόνησισ,prudentia
ψῆφοσ,censeo
εὕδω,somnus
ἱερόσ,fanum
εὐχή,oratio
στάσισ,ciuilis
ἀπολογέομαι,defendo
κλῆροσ,praedium
ἐπίκλησισ,cognomen
ἡδύσ,uoluptas
ἔποσ,carmen
ἐπιθυμέω,cupio
κατηγορέω,crimen
ἄγω,fero
θηρίον,ferus
ἡγεμών,miles
δύναμαι,uis
εὐχή,prex
μέλισσα,apis
τοσοῦτοσ,tot
ἕωσ,dum
δίκαιοσ,aequitas
ὄρθιοσ,columna
τρίπουσ,tripus
φόνοσ,occaedes
πωσ,uia
τυγχάνω,casus
πρόσωθεν,procul
μόσχοσ,uitulus
ἀλώπηξ,uulpis
ἐρῆμοσ,desero
ἔριφοσ,haedus
ταχύσ,cieo
ἀπέχω,abstineo
οἰκέτησ,puer
μέντοι,quidem
μετανοέω,paeniteo
ἐθέλω,eligo
δοξάζω,sententia
ἀδίκημα,crimen
κομίζω,adduco
ἦθοσ,mos
ἄτοποσ,mirus
ἠώσ,lux
μηδείσ,quisquam
μήνιμα,ira
ἀνδρεῖοσ,uirtus
ἐπανέρχομαι,redeo
κοῦφοσ,lux
ἀνέχω,fero
δόξα,fama
ὥσπερ,tamquam
αὐτίκα,continuus
κατά,inuitus
μανία,amentia
λάφυρα,praeda
ἀγνοέω,ignarus
κρατέω,dominus
οὐρά,cauda
ἀθλητήσ,athleta
διαφεύγω,effugio
ὄρνισ,uolatilis
ἀήρ,aera
δόγμα,decerno
προσδέω,opus
πάντοθεν,undique
ἀποκτείνω,occido
διαφθείρω,pereo
ἱππεύσ,equester
ἱππεύσ,ala
τοσόσδε,tantus
ὁπλίτησ,pedes
ἄνεμοσ,spiritus
δίκτυον,rete
ἀγρόσ,fundus
χείρ,bracchium
χαλκόσ,aeneus
σύμπρεσβυσ,collega
ἄρσην,masculinus
αὖ,conuerto
ἀποστέλλω,littera
ψηφίζω,censeo
ἔλαφοσ,ceruinus
βουλεύω,consulo
ὑπόδημα,calceamentum
πάθοσ,animus
ἐξέρχομαι,exeo
ἀναβαίνω,mons
εὔνοια,beneuolentia
τόξευμα,sagitta
πάχοσ,crassitudo
θεμέλιοσ,fundamentum
αἰτέω,postulo
δοῦλοσ,seruitium
χρῆμα,diuitiae
λαμβάνω,impetro
ἥκω,redeo
ἱερόσ,sancio
μνῆμα,tumulus
κόλποσ,gurges
γιγνώσκω,scientia
διώκω,studium
πέτροσ,Petro
ἀποκρίνω,exaudio
ἕωσ,quoad
Ἄργοσ,Argus
νόστοσ,redeo
κτείνω,percutio
δῆμοσ,ecclesia
πίμπλημι,impleo
στοιχεῖον,epistula
ὄμμα,facies
μένω,remaneo
λόγοσ,fabula
ἑκών,ultro
ἑκούσιοσ,sponte
φάοσ,leuis
λάφυρα,spolium
πένησ,miser
ἥκιστοσ,paruus
ἔνθεν,Indus
ἐπιμελέομαι,cura
καλόσ,ualeo
κεῖμαι,dormio
ὑγίεια,saluus
καθίστημι,constituo
θυμόσ,amor
ἄχθοσ,onus
ἴδιοσ,proprius
φρόνημα,superbia
πλησίοσ,prope
οὐδέποτε,umquam
αἰσχύνω,pudor
μετά,posterus
αὖ,contra
διαιτητήσ,arbiter
πάλιν,redeo
ὕλη,materia
ὕω,imber
ἀνάστασισ,resurrectio
σιτίον,cibus
φιλοτιμία,ambitio
πήρα,uidulus
νόμιμοσ,liceor
κρατέω,erus
πολύσ,summus
νέκυσ,morior
μείων,paruus
αἴτιοσ,reprehendo
δεσπότησ,erilis
ὗσ,Aper
πέρ,quamquam
γράμμα,liber
κλῆροσ,possessio
ἔριον,lana
οἶκοσ,apud
προσκυνέω,adoro
ἀλλήλων,mutuus
μιμνήσκω,mentio
προστάσσω,ordo
τοῖχοσ,paries
λόγοσ,ob
αὐλή,iudicium
δέω,quaero
οἰκήτωρ,habitator
δέσποινα,domina
Ἀργεῖοσ,Argiuus
ὑποπτεύω,suspicio
ἀρχή,potestas
ἀξιόω,uolo
φιλοσοφία,doctrina
σταθμόσ,pondus
πονέω,labor
βιάζω,copia
δουλεύω,seruitus
σωτηρία,saluus
φρονέω,sapientia
συμβουλεύω,moneo
κολάζω,poena
οἰκία,tectum
δέω,quaeso
ἀδίκημα,iniquitas
ἔγκλημα,crimen
ναυμαχία,proelium
καίτοι,etsi
τάχα,mox
φιλανθρωπία,humanitas
φυγάσ,exsul
νεανίσκοσ,iuuenis
νῦν,donum
ταξίαρχοσ,miles
οὕτωσ,iter
σωφρόσυνοσ,temperantia
μηδείσ,nullus
διαφθείρω,deleo
ἀρετή,bonitas
εὖ,ius
χαίρω,gaudium
παρακαλέω,hortor
εὐρύσ,latitudo
δμωή,ancilla
πάθοσ,amor
ἀλήθεια,Hercules
ἀπαιτέω,postulo
νόσημα,morbus
ὅλοσ,imperator
νέοσ,iuuenta
ἀνάλωμα,sumptus
ἐμπόριον,portus
ὀρθόσ,dexter
ἱμάτιον,pallium
ἕνεκα,ratio
πού,credo
φόνοσ,interfacio
ἐπίτροποσ,custos
ναίω,habito
διαφθείρω,perdo
παραδίδωμι,deditio
βούλευμα,consilium
προτεραῖοσ,pridie
Λιβύη,Libya
δόξα,sententia
βῆμα,iudicium
πῶμα,bibo
ἁμαρτωλόσ,peccator
χειμών,hiemo
περιτέμνω,circumcido
γνώμη,opinio
ἄρχω,imperium
γλαφυρόσ,cauus
οὐδαμόσ,nusquam
οἰωνόσ,auis
δμώσ,seruus
ἐκκλησία,multitudo
ἀρνόσ,agnus
ἀφαιρέω,aufero
ἀφαιρέω,tollo
τελευταῖοσ,denique
κατάγω,restituo
κίνησισ,sententia
ἀπόλλυμι,intereo
ἀποδίδωμι,soluo
δόμοσ,apud
ἄρχω,occipio
δακρύω,fleo
βασίλειοσ,Palatium
ἀρετή,animus
πειράω,tento
καίπερ,tametsi
δαίσ,fax
στρατηγίσ,praetorius
πίστισ,pignus
μηρόσ,for
δεσπότησ,magister
νόμοσ,legitimus
ἡδύσ,gaudeo
ἄποροσ,pauper
ἐδητύσ,bibo
ἀγνοέω,nescio
αὖ,uerto
μέτριοσ,mediocris
καταψηφίζομαι,condemno
ἀθανασία,immortalitas
ἔμβολοσ,rostrum
φρονέω,superbia
ἔμποροσ,negotiator
σῆμα,signum
τρόποσ,iter
ἱππότησ,eques
πτέρυξ,ala
δέω,necessarius
ἕκαστοσ,complures
ἔνδεια,uolo
ἐθέλω,placeo
πότεροσ,uter
ἀγανακτέω,dolor
γέφυρα,pontus
ὑπολαμβάνω,credo
χάλκεοσ,aer
σύν,simul
σώζω,libero
φυγή,exsilium
διπλάσιοσ,bis
σπουδή,studium
φῦλον,tribus
λεῖοσ,praeda
θαρσέω,animus
τισ,iste
δημηγορέω,contio
ἀνάγκη,copia
κάλαμοσ,harundo
ἡγήτωρ,dux
ἄλσοσ,Lucus
ὗλισ,silua
δημόσιοσ,aerarius
ἱππικόσ,eques
ἀξιόω,exspecto
ὄνοσ,asininus
δύσισ,occidens
τοσοῦτοσ,multus
ἐκβάλλω,eicio
καταφρονέω,despicio
ἐπιεικήσ,bonus
αἴτιοσ,culpa
παντάπασι,omnino
ὑπέρ,ulter
βέλοσ,scapus
εἰκότωσ,natura
πονηρόσ,malus
ἤπειροσ,infinitus
ἀνόσιοσ,impius
φιλανθρωπία,beneficium
εὐεργεσία,beneficium
ὅσιοσ,sancio
πυνθάνομαι,rogo
κύκλοσ,circulus
πλευρά,pars
σῶσ,saluus
κακόσ,calamitas
ὑποστρέφω,redeo
ἀριθμόσ,multitudo
γεωργία,fundus
συμμαχία,auxilium
ὗλισ,lignum
ἐξαίφνησ,repentinus
ἑσπέρα,occidens
ἐγγύσ,iuxta
δίδωμι,soluo
μέλλω,mora
πενία,inopia
κνέφασ,tenebrae
θυμόσ,mens
μέροσ,conuerto
αἰτέω,peto
πλόοσ,nauigo
ἱστορία,historia
ἀδίκημα,facinus
πλησίοσ,iuxta
ἐξουσία,licentia
νόσοσ,ualetudo
σκοπέω,considero
ἕτεροσ,aliter
ὅσιοσ,iustus
ἀκροάομαι,audio
ἐλεέω,misero
ἐκκλησία,coitus
τάχα,fors
ἄφρων,stultus
ψεύδω,mendacium
μάλα,quidem
ὄπισθεν,tergum
ἀνοίγνυμι,pateo
φαντασία,facies
ἀναιρέω,interfacio
περίπατοσ,ambulo
ἅλσ,Sale
τάφοσ,tumulus
δύστηνοσ,miser
ἄξων,axis
χήν,anser
ἐπανέρχομαι,reuorto
τριήραρχοσ,miles
ἑκούσιοσ,ultro
φυλάσσω,caueo
ἄσμενοσ,gaudeo
θέμισ,liceor
φαῦλοσ,malus
μέλλω,posterus
φεύγω,profugio
σκοπέω,existimo
ἐπιτρέπω,committo
αὔριον,creo
σπάνιοσ,uix
ἐπιτήδειοσ,commeatus
κεῖμαι,mentior
αἰνέω,laudo
κατηγορέω,accusator
δηνάριον,denarius
ὁπότε,quotiens
διάδοχοσ,succedo
διαφεύγω,fugio
σάλπιγξ,bucina
πρόφασισ,excusatio
ἐπιτίθημι,impetus
τελευταῖοσ,extremus
δικαιοσύνη,aequitas
ἀναμιμνήσκω,memini
βοήθεια,auxilium
καῦμα,calor
χωρίσ,praeterea
πέρ,etsi
σοφόσ,sapientia
πρόσω,minimus
ἀπειλή,mina
ἀπόλλυμι,ruina
πείθω,oboedio
ἔγκλημα,querela
ἀναπαύω,reliquus
πόα,herba
πτερόν,ala
ἐπιτρέπω,liceor
κοιμάω,somnus
ἡγεμών,princeps
ἀκτίσ,radius
ἀσπάζομαι,saluto
ἀποθνήσκω,obeo
τολμάω,animus
τίκτω,fero
δρόμοσ,curro
τεχνίτησ,artifex
ἐπαινέω,gratia
αἰτέω,interrogo
τέσσαρεσ,quadraginta
αἰσχύνω,confundo
ἀναιρέω,occaedes
παραδίδωμι,eruo
θριαμβεύω,triumphus
μισθόω,conduco
ἥκω,reuorto
πρόβατον,pecus
πρόβατον,grex
ἄρα,igitur
ἑκών,uoluntarius
φίλιοσ,necessitudo
νόστοσ,reuorto
καταφρονέω,sperno
ἠώσ,orientalis
διδάσκαλοσ,doctor
οἶκοσ,cognatio
αὐλή,atrium
ἐάν,siue
ἀξιόω,quaero
οἰκεῖοσ,familia
ἀπόλλυμι,disperdo
μέχρι,dum
πυνθάνομαι,cognosco
ἄγω,deduco
μέτριοσ,moderatio
ἀσεβήσ,impius
κατέχω,retineo
καθά,quasi
λοχαγόσ,miles
προστίθημι,adicio
θάλασσα,litus
ὀσφύσ,lumbus
πλοῦτοσ,Opis
πολύσ,grandis
δεῖπνον,conuiuium
θνήσκω,pereo
ἄγριοσ,ferus
πύργοσ,murus
Περσεύσ,Perseus
ταλαίπωροσ,miser
λοιπόσ,maneo
φάσγανον,ferrum
ὁμοῖοσ,similis
πρέσβυσ,antiquus
τλάω,fero
πάλιν,reuorto
δέοσ,metuo
μνήμη,memini
ἔοικα,appareo
μνήμη,monumentum
ὀλίγοσ,modicus
κέλομαι,iubeo
καλόσ,posterus
κύπροσ,Cyprius
τέλοσ,posterus
ἀπολογία,defendo
τέλοσ,denique
κνήμη,crus
στράτευμα,copia
συμβουλεύω,suadeo
κάθοδοσ,redeo
ἄρτι,dudum
ὀργίζω,irascor
αἰθήρ,aer
κόλασισ,poena
αἵρεσισ,comitium
ἐπιβουλεύω,insidiae
ἀποβάλλω,perdo
μένω,exspecto
βάρβαροσ,peregrinus
ἦθοσ,existimatio
ἀνθρώπειοσ,humanus
ἀεί,assiduus
ἄπειμι,discedo
νομάσ,Numida
ὑποκριτήσ,histrio
ὁπλίτησ,cohors
ἄμαξα,plaustrum
ἔνδον,intus
ὁπλίζω,arma
πονηρία,uitium
πανταχοῦ,ubique
φρόνημα,animus
ἀφίημι,dimitto
κόλποσ,pectus
θάλασσα,ora
χωρίον,ager
πώγων,barba
ἀρνίον,agnos
γείτων,proximus
συγγνώμη,uenia
ἐμπίμπρημι,holocaustum
πιστόσ,fides
μέλλω,posthac
οὐδαμόσ,nequaquam
πάντωσ,quidam
ἄτοποσ,absurdus
καθά,sicut
κατέρχομαι,redeo
εὐσέβεια,religio
κατηγορία,accusatio
κρίνω,reciperator
εἰσέρχομαι,introeo
καθόλου,dux
ὄρεξισ,uolo
λαόσ,militia
καθεύδω,dormio
μένω,resto
παραινέω,consilium
ἄκροσ,arx
βίβλοσ,uolumen
πότεροσ,num
συμφορά,clades
ἐθέλω,utinam
γέρων,antiquus
δυοκαίδεκα,duodecim
μάχαιρα,ferrum
ζυγόσ,iugum
δῆλοσ,perspicuus
εὐρύσ,fero
στρατιωτικόσ,miles
συνέδριον,consilium
ἐπερωτάω,quaero
τεκμήριον,indicium
ἄλγοσ,uae
πῆμα,uae
νότοσ,meridianus
δημαρχία,tribunatus
προαιρέω,uolo
ποίημα,carmen
ἀνόητοσ,stultus
κακόσ,negotium
ὗσ,suillus
δίκη,aptus
νέοσ,aetas
οἶκοσ,tectum
σιωπάω,taceo
ἐπιτίθημι,oppugno
ἀφίημι,relinquo
πρόσοδοσ,uectigal
φεύγω,uito
ὅστισ,ullus
ἐμπίπτω,cado
μή,nolo
ἄκανθα,spina
θυσία,sacrifico
φήμη,fama
διαφέρω,differo
μέροσ,uerto
ἀσθένεια,infirmitas
ἑτοῖμοσ,promptus
ἀέκων,nolo
ἐάω,concedo
δέλτοσ,tabula
προπέτεια,temeritas
ἀγαπάω,diligo
Ἀργεῖοσ,Argolicus
φέγγοσ,lux
χεῖλοσ,labium
καθά,similis
στήλη,crusta
Θησεύσ,Theseus
ἆθλον,ludus
κόρη,mulier
κομίζω,recipero
προστάσσω,imperium
ἐξουσία,uis
κυνέα,galea
δόξα,existimatio
δέοσ,uereor
γραμματεῖον,tabula
βοῦσ,uitulus
στέργω,amo
μισθόσ,gero
δεῖπνον,prandium
φιλότησ,diligo
ἄγριοσ,saeuus
φυλή,gens
δῶμα,Palatium
στυγέω,odi
δόμοσ,Palatium
προσλαμβάνω,addo
περάω,trans
κάπροσ,Aper
λύρα,cithara
κρατέω,uinco
Λέσβοσ,Lesbos
ποτήριον,calix
πάρειμι,munus
μόλισ,difficultas
μάγειροσ,coquus
τοιγάρ,ergo
ὁδόσ,semita
πόντιοσ,Pontius
μάλιστα,praecipuus
στρατηγόσ,communis
αὐτόθεν,hinc
φυλάσσω,custos
ἐπιθυμία,cupio
ἀδικέω,iniurius
σκαῦροσ,Scaurus
κτάομαι,possessio
δοκέω,censeo
δοκέω,sentio
πιστόσ,Hercules
σχολάζω,otium
οὕτωσ,modus
ἔπειτα,secundus
παράλιοσ,litus
ἀφικνέομαι,aduenio
λαόσ,hospes
εὔχομαι,obsecro
στρατιώτησ,copia
ἀρνειόσ,aries
γοῦν,quidam
ἄναξ,erus
ἡνία,habena
κτῆσισ,bonus
ἆθλον,praemium
ἄγω,induco
βλέφαρον,palpebra
ἐάν,an
δήπου,certus
τόφρα,interim
συνάρχω,collega
ἐλπίζω,exspecto
δῶμα,templum
μεταμέλει,paeniteo
μνῆμα,bustum
ἀξιόω,rogo
προσποιέω,simulo
λόγχη,hasta
δόμοσ,tectum
καλόσ,dexter
δειλία,ignauia
ἑταίρα,amicus
κατακρίνω,condemno
ἀπαγγέλλω,rumor
κληρονομία,possessio
πεζόσ,Pedum
ξύλινοσ,ligneus
εὖ,puteus
χαίρω,fruor
μάλιστα,maximus
Ἀρκάσ,Arcas
μέροσ,dos
ἐπάνειμι,redeo
ἄγω,defero
θιγγάνω,tango
εἰσάγω,affero
γένοσ,natio
ἀπειλέω,mina
ποίμνη,grex
ἦθοσ,fama
κίρκη,Circe
ἀγαπάω,amor
γραῦσ,anus
Τεῦκροσ,Teucer
ὕποπτοσ,suspicor
ζάω,uiuus
νομάσ,Nomas
ὅμοροσ,terminus
κέρασ,penna
ἀξιόω,posco
ἐξέρχομαι,egredior
λίβανοσ,Libanus
δειπνέω,cena
τιμωρέω,uisito
φθονέω,inuideo
στέφανοσ,uertex
ἔρομαι,postulo
μῦσ,mus
ὀδύνη,dolor
τοίνυν,bene
παράλιοσ,ora
δίδωμι,reddo
μέμφομαι,reprehendo
Ὀλύμπιοσ,Olympius
δοκέω,existimatio
πῆχυσ,cubitus
εἰκών,similitudo
ἄνασσα,regina
φιλότησ,amor
μέγεθοσ,altitudo
ὅπου,ubicumque
δοξάζω,glorifico
νόμισμα,nummus
μοχθηρία,uitium
ἐλπίσ,exspectatio
ὑπόσχεσισ,polliceor
προσέχω,opera
κατέχω,possessio
πόλεμοσ,acies
τύχη,casus
φρουρέω,praesidium
πληρόω,impleo
θησαυρόσ,aerarius
αὐτόμολοσ,desertor
ἀπορέω,dubito
ὀνειδίζω,opprobrium
παραδίδωμι,eripio
ὕστεροσ,nouissimus
θεραπεύω,sano
ἐρωτάω,postulo
ῥῆμα,sermo
ὑποστρέφω,reuorto
βοῦσ,pecus
αἰθήρ,aura
ἀπορία,difficultas
οἴομαι,opinor
κρατέω,uictor
θάπτω,funus
ἐγκαλέω,queror
στίξ,ordo
ὀκτωκαίδεκα,octo
τρόποσ,modus
ἀναχωρέω,redeo
τοτέ,interdum
εὐγένεια,nobilis
ἀγρόσ,campus
πρεσβεύω,legatio
ἀετόσ,fastigium
ψαύω,tango
ἀφίημι,absoluo
εἰσάγω,adduco
ἐπερωτάω,rogo
πλοῖον,scapha
ἐθέλω,uoluntas
χαίρω,delecto
συνάγω,congrego
ποίημα,poema
φύω,nascor
ἔπειτα,deinde
θώραξ,rationalis
δειρή,collum
βέλοσ,tela
δίψοσ,sitio
Πτολεμαῖοσ,Ptolemaeus
χαίτη,capillus
συμφωνία,concordia
φέρω,duco
χειμάρρουσ,torrens
ἀναπαύω,ceterus
ἀφαιρέω,priuo
εἴτε,an
ἀγρόσ,praedium
δίωξισ,studium
Σκύλλα,Scylla
ἔξεστι,patior
ἵπποσ,equitatus
αἴτιοσ,ob
ἄριστοσ,nobilis
εἴσειμι,intro
ὑπομιμνήσκω,admoneo
ταῦροσ,taurinus
στρατηγέω,dux
περιμένω,exspecto
ἄγω,introduco
ἀταραξία,otium
ἄπειμι,recedo
σκεῦοσ,nauis
ἀποδίδωμι,trado
στρατία,copia
θαυμάσιοσ,mirus
ἐχθαίρω,odi
λείπω,maneo
δίκη,iustitia
στράτευμα,miles
ἄκροσ,altitudo
βραχύσ,paruus
βάρβαροσ,exter
προαιρέω,malo
βάλλω,proicio
εὔχομαι,oratio
πολέμιοσ,infestus
τοῖχοσ,moenia
παιδεύω,doceo
τοίνυν,propterea
παλλακή,concubina
μισθόσ,soluo
πλείων,complures
ἐκβάλλω,expello
ἀφίστημι,deficio
ὗσ,porcus
θαυμάζω,prodigium
ἡγεμονία,praecipio
παραινέω,commendo
ὑπόμνημα,monumentum
κλύδων,unda
καθόλου,imperator
προδοσία,insidiae
παρασκευάζω,praeparo
ἡγέομαι,considero
πρᾶγμα,causa
εὔχομαι,prex
ὑγρόσ,liquidus
ὁπόσοσ,quot
κατηγορέω,reus
οἰωνόσ,omen
ἐναντίοσ,facies
συνθήκη,testamentum
δῆλοσ,Delos
ὑπόσχεσισ,promitto
τυραννεύω,tyrannus
ἀρχαῖοσ,senex
ἐπιεικήσ,aequitas
κτῆμα,bonus
ταχύσ,simul
ἐγκαλέω,accuso
κενόσ,inanis
κακόσ,noceo
σωτηρία,tueor
τόφρα,interea
πανταχοῦ,passim
σημεῖον,testimonium
εὐγενήσ,nobilis
πλεονεξία,cupiditas
ἄγω,infero
ἀνδριάσ,simulacrum
γενεά,saeculum
φέρω,induco
ἔποσ,poema
μήσ,quidam
ἀγέλη,bos
θνήσκω,obeo
κτῆμα,thesaurus
ἄποικοσ,colonus
καθίζω,sedeo
ἡγέομαι,existimo
ἀπόστασισ,defectio
βάρβαροσ,externus
Αἰθίοψ,Aethiops
μέλασ,tenebrae
φιλέω,soleo
ἔρυμα,munitio
ἀσθενήσ,imbecillus
σπόγγοσ,spongia
σεισμόσ,motus
ἀνατρέπω,euerto
ψεύδω,iaceo
ἐπιτρέπω,patior
οὐσία,praedium
δίκαιοσ,aequus
θρίξ,crinis
χιών,niuit
ὑπακούω,pareo
φέρω,defero
αἰτιάομαι,reprehendo
ἔοικα,quasi
βάσανοσ,tormentum
ἀμύνω,defensio
σωτηρία,salutaris
γείτων,uicinus
ἥκιστοσ,praesertim
παντάπασι,totus
εὔχομαι,tandem
ἀκόλαστοσ,impurus
μικρότησ,paucitas
νομίζω,considero
οἶκοσ,gener
οἴκημα,cubiculum
πάτριοσ,mos
βόσκημα,iumentum
στρατεύω,seruio
προσγράφω,addo
ἁμαρτάνω,desidero
ἐκδίδωμι,nuptiae
ἔσχατοσ,nouissimus
ἡδύσ,suauis
καλέω,inuito
ὅμοιοσ,tamquam
διανέμω,diuido
φεύγω,exsul
ἵπποσ,equa
δέχομαι,suscipio
ἀπόλλυμι,interfacio
ὑπόδημα,calceus
ἐλαύνω,iter
ἱερά,sanctuarium
θέα,spectaculum
αἰτία,crimen
ἕξισ,ingenium
εἶδοσ,species
Ἀλέξανδροσ,Alexander
ἀκολασία,libido
κάθοδοσ,reuorto
ὅθεν,hinc
καλόσ,puteus
νομίζω,existimo
ἐλέφασ,eburnus
Μάγοσ,magus
πλευρά,latus
ἀναμένω,exspecto
αὐτίκα,ilico
ἄγριοσ,immanis
θυγατριδοῦσ,nepos
υἱωνόσ,nepos
μόχθοσ,labor
ὁμομήτριοσ,dimidius
ὀλίγοσ,fere
χαίρω,uoluptas
προδοσία,perfidia
βασανίζω,tormentum
χρή,ius
μωρόσ,stultus
εἴδωλον,idolum
μονομάχοσ,gladiatorius
ἄλοχοσ,coniunx
μετατίθημι,muto
ἐξουσία,imperium
διαφορά,intersum
κῦδοσ,laus
θεόφραστοσ,Theophrastus
δεινόσ,mirus
κατέρχομαι,reuorto
λύπη,opera
οἴομαι,arbitror
κῆρ,animus
μῦθοσ,insidiae
νέφοσ,nubila
ἔοικα,sicut
κακία,turpitudo
πάρειμι,dono
εὐνή,lectulus
Σάτυροσ,satyrus
ἐπίνειον,portus
ἐπιδείκνυμι,probo
ἐράω,diligo
ἱππικόσ,equester
ὀρέγω,uolo
καίτοι,tametsi
σοφόσ,sapienter
ἀποδίδωμι,redeo
ἄρωμα,aroma
δίκη,uisito
ἱερεῖον,hostia
βοηθέω,adiuuo
ἄρχω,iubeo
ἀποψηφίζομαι,absoluo
νεφέλη,nubila
κολάζω,supplicium
πρόνοια,cura
βῆμα,tribunal
πόντιοσ,marinus
δικαστήριον,tribunal
χῶμα,agger
Παλλάσ,Pallas
ὅμηροσ,obsido
διπλάσιοσ,duplex
παρέχω,gigno
φρούριον,castellum
μιμνήσκω,commemoro
ἐπίκουροσ,auxilium
βάλλω,iacio
ἄρχω,honor
Γλαῦκοσ,Glaucus
αἰνέω,laus
φέρω,introduco
χαίρω,laetitia
Κάδμοσ,Cadmus
σωφρόσυνοσ,continentia
δορυφόροσ,praesidium
εὐνοῦχοσ,spado
ἄξιοσ,aestimo
φιλέω,caritas
ἁμάρτημα,pecco
σκεῦοσ,impedimentum
δίκαιοσ,iustifico
ἀθρόοσ,frequens
γλυκύσ,suauis
ἰσχύσ,robur
ἐλάχιστοσ,paruus
ἔοικα,similis
ἁμαρτάνω,erro
ἀρχή,uis
τάφοσ,bustum
κῆποσ,paradisus
ἀλγέω,dolor
ἄδεια,impune
διαφθείρω,disperdo
ῥάβδοσ,fascis
φιλαργυρία,auaritia
ζημία,supplicium
ἀπολύω,dimitto
συλλήβδην,denique
ἁπλόσ,denique
βάθρον,basium
θυρίσ,fenestra
ἀποφεύγω,absoluo
ἐμπίπλημι,compleo
μετανοέω,paenitentia
σῖτοσ,triticum
ἴσοσ,forsitan
ἐκφεύγω,effugio
ἠώσ,matutinus
συνέδριον,concilium
ζύμη,fermentum
ὅπωσ,impero
γεωργέω,fundus
πέντε,quinquaginta
πλεῖστοσ,multus
κατέρχομαι,descendo
πορεύω,Martius
πρόσθεν,frons
παλλακίσ,concubina
ὄμνυμι,adiuro
τάξισ,frons
σύμμαχοσ,societas
προγραφή,proscriptio
χάρισ,grates
δείκνυμι,indico
σοφόσ,prudens
γοῦν,saltem
ψυχή,aetas
ἐθέλω,cupiditas
πάλιν,reuoco
μισθοφόροσ,mercenarius
ἄγω,offertor
εἰσέρχομαι,ingredior
ὁπλή,ungula
ἔπειτα,proximus
νόμιμοσ,mos
πείθω,adduco
κακόσ,molestia
φέρω,infero
ἡσυχία,otium
κάρβων,Carbo
μηκέτι,ulter
νόμιμοσ,ius
σιγάω,silentium
Παιάν,Paean
ἵστημι,erigo
φιλοτιμία,liberalitas
πρεσβύτησ,senex
δάκρυον,fleo
θήρ,ferus
εὔνοια,amor
διδάσκω,ostendo
ἀλγηδών,dolor
πλίνθοσ,later
νόσοσ,infirmitas
περάω,finis
δαίμων,animus
εὐτυχία,felicitas
ἕτεροσ,quisquam
στρατηγέω,imperator
Ἀχαιόσ,Achaicus
κανών,uirga
στάσισ,factio
χύτρα,aula
σύλλογοσ,contio
ὄροφοσ,tectum
ὁράω,animaduerto
ἄνθραξ,carbo
ἀναμιμνήσκω,admoneo
φιλέω,osculum
οἶκοσ,sedes
βότρυσ,labrusca
δοῦλοσ,puer
δωρεά,donum
πλουτέω,diues
δωρεά,munus
δῆλοσ,manifestus
παρέχω,produco
λέχοσ,lectulus
μηδέποτε,umquam
ἐνίοτε,aliqua
αἰτιάομαι,culpa
πρόσω,longus
ἐπάνειμι,reuorto
σκοπέω,iudico
αὐτίκα,extemplo
συμφέρω,utilitas
θεωρέω,studium
οἰωνόσ,uolucris
πολιτεία,publicus
ὑψηλόσ,summus
μέχρι,longus
ἐγγύσ,fere
ἄρχω,praesum
προσεύχομαι,oro
κληρονομέω,possideo
τοίνυν,ideo
γεωργία,praedium
τύμβοσ,monumentum
ὅτε,interdum
παραινέω,hortor
διάδημα,diadema
ὀργή,iracundia
συγχέω,perdo
πλησίοσ,fere
τελευτάω,extremus
πώποτε,semper
τυγχάνω,euenio
ἅπασ,cunctus
ὕμνοσ,carmen
τυγχάνω,assequor
παρακαλέω,uolo
αἰδώσ,modestia
παραπλήσιοσ,similis
Ἴλιοσ,Iliacus
ἐμπίπλημι,repleo
δρέπανον,falx
δεσμωτήριον,uinculum
μεταβάλλω,mutatio
ἀναίτιοσ,innocens
τερπικέραυνοσ,fulmen
ἔμπροσθεν,frons
βόρειοσ,aquilo
πωσ,fors
προστίθημι,adiungo
βάλλω,eicio
ἅλυσισ,catena
ἀπαγγέλλω,defero
κακόσ,opera
κακόσ,mala
νικάω,ualeo
θάλποσ,calor
κῆδοσ,uae
ἀδίκημα,flagitium
ἀποθνήσκω,percutio
παρακαλέω,oro
γεωργόσ,publicanus
ὄψισ,species
τραυματίασ,uulnus
στασιαστήσ,seditiosus
πυνθάνομαι,peto
σαφήσ,planus
ἕξισ,soleo
δῶμα,apud
μεγαλοψυχία,magnitudo
εἴπερ,siquidem
βιβλίον,libellus
πυρή,rogus
καθαρόσ,mundus
προσαγορεύω,appello
ἔναγχοσ,recens
ἀναχωρέω,reuorto
τελευταῖοσ,proximus
εὐδαιμονέω,beo
σῖτοσ,granum
βάροσ,ualeo
πέτομαι,fugio
θύελλα,turbo
στόμα,labrum
ἀπόλλυμι,morior
μεσημβρία,auster
ἐμπειρία,ars
κρίνον,lilium
ἀποβάλλω,amitto
δεινόσ,metuo
ἐνθυμέομαι,cogito
μοῖρα,dos
